metric,n_seeds,baseline_mean,treatment_mean,mean_diff,median_diff,relative_effect_pct,signed_relative_effect_pct,cohens_d,bootstrap_ci_95_lo,bootstrap_ci_95_hi,ci_excludes_zero,wilcoxon_stat,wilcoxon_p,paired_ttest_stat,paired_ttest_p,practically_significant_improvement,pricing_policy,dispatch_policy,role
earnings_per_online_hour_mean,24,152.52407121942304,152.93335007904187,0.40927885961884886,0.32101199298469396,0.2683372246404669,0.2683372246404669,0.294080601579,-0.1309757301151499,0.9521960973368729,False,106.0,0.21821892261505127,1.4406948342385342,0.16314666622059062,False,NO_SURGE,MARKETPLACE_AWARE,guardrail
driver_utilization_mean,24,0.5720418896200853,0.5725352554179673,0.000493365797881895,0.0009919844409546075,0.0862464457296227,0.0862464457296227,0.13064940438625847,-0.0010581335009814446,0.0019078456277835084,False,117.0,0.35962629318237305,0.6400487518897433,0.528465965881849,False,NO_SURGE,MARKETPLACE_AWARE,guardrail
platform_revenue,24,90379.77250093967,90599.26507391664,219.4925729769875,187.57364134734235,0.24285585911903626,0.24285585911903626,0.2708751535229485,-95.27540700104588,540.7474363247396,False,109.0,0.2522493600845337,1.3270118202585621,0.19752889927539524,False,NO_SURGE,MARKETPLACE_AWARE,guardrail
p90_wait_min,24,10.25,10.791666666666666,0.5416666666666666,1.0,5.284552845528455,-5.284552845528455,1.0642254261084712,0.3333333333333333,0.75,True,0.0,0.0003114909767673832,5.213618530523515,2.7502763622719794e-05,False,NO_SURGE,ADVANCED_HEURISTIC,primary
avg_wait_min,24,4.234381312171579,4.389124034113375,0.15474272194179503,0.14595988355782286,3.654435218127204,-3.654435218127204,1.1388952878046879,0.10160405273744595,0.20891203856514007,True,21.0,5.328655242919922e-05,5.5794246511633565,1.1213946856447131e-05,False,NO_SURGE,ADVANCED_HEURISTIC,secondary
completion_rate,24,0.5534600215441546,0.5234031084903817,-0.03005691305377282,-0.029394408941676636,-5.4307288482940415,-5.4307288482940415,-5.425893225418408,-0.032258630445523476,-0.027863268139335057,True,0.0,1.1920928955078125e-07,-26.58133960219825,9.064950704341723e-19,False,NO_SURGE,ADVANCED_HEURISTIC,secondary
cancellation_rate,24,0.21722005380082474,0.22892996387421027,0.011709910073385588,0.01301635150238259,5.390805254160713,-5.390805254160713,2.2392928971706754,0.009473523817155655,0.013629113581498396,True,3.0,5.960464477539062e-07,10.970249965413588,1.2956642722323072e-10,False,NO_SURGE,ADVANCED_HEURISTIC,secondary
earnings_per_online_hour_mean,24,152.52407121942304,144.97356335917505,-7.550507860247985,-7.275622183727819,-4.9503713085298715,-4.9503713085298715,-3.9053327110367575,-8.32036744320969,-6.81996300451957,True,0.0,1.1920928955078125e-07,-19.132144835680318,1.2689777155488296e-15,False,NO_SURGE,ADVANCED_HEURISTIC,guardrail
driver_utilization_mean,24,0.5720418896200853,0.5557013043185242,-0.016340585301561145,-0.016068700703939787,-2.856536487636167,-2.856536487636167,-3.340562295688665,-0.018228416358631372,-0.01446180630706477,True,0.0,1.1920928955078125e-07,-16.365346156835223,3.63814355449138e-14,False,NO_SURGE,ADVANCED_HEURISTIC,guardrail
platform_revenue,24,90379.77250093967,85674.89564712105,-4704.876853818602,-4682.592154794489,-5.20567459247553,-5.20567459247553,-5.2959265246873635,-5055.780135515257,-4366.244387088916,True,0.0,1.1920928955078125e-07,-25.944635401510123,1.5560889991778018e-18,False,NO_SURGE,ADVANCED_HEURISTIC,guardrail
p90_wait_min,24,10.25,9.333333333333334,-0.9166666666666666,-1.0,-8.94308943089431,8.94308943089431,-1.8201909894555675,-1.125,-0.7083333333333334,True,0.0,1.7074739053089123e-05,-8.917078317155553,6.3456745288184645e-09,True,BASIC_SURGE,ETA_OPTIMIZED,primary
avg_wait_min,24,4.20578764221143,4.183696003337287,-0.022091638874142523,0.007025172318773976,-0.5252675777640213,0.5252675777640213,-0.17572685919784584,-0.0744088769595653,0.024427796756704638,False,139.0,0.7682963609695435,-0.8608822782732544,0.3981887776480115,False,BASIC_SURGE,ETA_OPTIMIZED,secondary
completion_rate,24,0.5529812377666322,0.5668697133878958,0.013888475621263566,0.013904269551945514,2.5115636250799427,2.5115636250799427,2.253938319011023,0.011474733751876975,0.016327415091407883,True,0.0,1.1920928955078125e-07,11.04199758656692,1.1411882436517118e-10,False,BASIC_SURGE,ETA_OPTIMIZED,secondary
cancellation_rate,24,0.20557053491356211,0.1957726179987318,-0.009797916914830288,-0.009456725560550897,-4.766206849123634,4.766206849123634,-1.9696610891454849,-0.011835844940014923,-0.007930586641246042,True,0.0,1.1920928955078125e-07,-9.649329269242015,1.492739579972378e-09,False,BASIC_SURGE,ETA_OPTIMIZED,secondary
earnings_per_online_hour_mean,24,153.71087078090954,156.66749166085665,2.956620879947111,2.915629731276468,1.923494977893467,1.923494977893467,1.5335203091828091,2.2205596226332642,3.727607150734513,True,3.0,5.960464477539062e-07,7.512684535385957,1.2392013114496253e-07,False,BASIC_SURGE,ETA_OPTIMIZED,guardrail
driver_utilization_mean,24,0.571383454979769,0.5629644899720505,-0.00841896500771836,-0.008389714000458293,-1.4734352096380618,-1.4734352096380618,-1.6219707425074115,-0.010405919378032882,-0.006397136898716076,True,4.0,8.344650268554688e-07,-7.94600139373264,4.8167480450131266e-08,False,BASIC_SURGE,ETA_OPTIMIZED,guardrail
platform_revenue,24,91043.27256059698,93493.44111716341,2450.1685565664434,2538.280300431834,2.6912131864939823,2.6912131864939823,2.2510528601110513,2024.185991313499,2868.7964811516536,True,0.0,1.1920928955078125e-07,11.027861782609513,1.1700389787011325e-10,False,BASIC_SURGE,ETA_OPTIMIZED,guardrail
p90_wait_min,24,10.25,10.0,-0.25,0.0,-2.4390243902439024,2.4390243902439024,-0.4702699715629801,-0.4583333333333333,-0.041666666666666664,True,4.5,0.03389485352468924,-2.3038429433649137,0.030607709594718424,False,BASIC_SURGE,DRIVER_EARNINGS_AWARE,primary
avg_wait_min,24,4.20578764221143,4.14634692968916,-0.0594407125222701,-0.05549267141069669,-1.4133075081036617,1.4133075081036617,-0.6042478823819819,-0.09823772624254073,-0.022533321623288454,True,59.0,0.007920503616333008,-2.9601979799862415,0.007014947491987973,False,BASIC_SURGE,DRIVER_EARNINGS_AWARE,secondary
completion_rate,24,0.5529812377666322,0.5531807224081766,0.00019948464154441922,0.0009426560442633569,0.03607439600484334,0.03607439600484334,0.044844277753747365,-0.0015100197117966243,0.0019487364667267687,False,144.0,0.8774070739746094,0.21969119676064805,0.8280497835013785,False,BASIC_SURGE,DRIVER_EARNINGS_AWARE,secondary
cancellation_rate,24,0.20557053491356211,0.2059773126074158,0.0004067776938537169,0.0006796653568007932,0.19787743123048152,-0.19787743123048152,0.10264135391231805,-0.001170945848375837,0.001942092120665983,False,133.0,0.6431422233581543,0.5028378871872021,0.6198593997109584,False,BASIC_SURGE,DRIVER_EARNINGS_AWARE,secondary
earnings_per_online_hour_mean,24,153.71087078090954,156.35010562349677,2.6392348425872285,2.593238346883737,1.7170124853101894,1.7170124853101894,1.3843768374364054,1.8848940740784403,3.36895444736845,True,11.0,6.556510925292969e-06,6.782033726894181,6.448886824731088e-07,False,BASIC_SURGE,DRIVER_EARNINGS_AWARE,guardrail
driver_utilization_mean,24,0.571383454979769,0.578713849250144,0.0073303942703751524,0.007989479965189838,1.282920288728819,1.282920288728819,1.3260983842825453,0.005166509190882476,0.009477637287552635,True,12.0,8.344650268554688e-06,6.4965287804428815,1.2514949937270426e-06,False,BASIC_SURGE,DRIVER_EARNINGS_AWARE,guardrail
platform_revenue,24,91043.27256059698,91069.56968437851,26.297123781548482,217.58848477344873,0.02888420312884242,0.02888420312884242,0.03407775439473127,-285.0699350184495,325.97050985045337,False,149.0,0.9888126850128174,0.16694621969395723,0.8688714388356918,False,BASIC_SURGE,DRIVER_EARNINGS_AWARE,guardrail
p90_wait_min,24,10.25,10.125,-0.125,0.0,-1.2195121951219512,1.2195121951219512,-0.27875204519913876,-0.2916666666666667,0.041666666666666664,False,3.0,0.17971249487899976,-1.3656005509902465,0.18527190025184803,False,BASIC_SURGE,MARKETPLACE_AWARE,primary
avg_wait_min,24,4.20578764221143,4.127008116852434,-0.07877952535899553,-0.05624874415924186,-1.8731218040664732,1.8731218040664732,-0.7263520048093798,-0.12380514342878692,-0.039885629244647794,True,35.0,0.0004944801330566406,-3.558383570861147,0.0016719504665389854,False,BASIC_SURGE,MARKETPLACE_AWARE,secondary
completion_rate,24,0.5529812377666322,0.554858046239724,0.0018768084730918858,0.0012803449041863812,0.3393982191279936,0.3393982191279936,0.5440630547119846,0.000538238032285564,0.003228599210023627,True,75.0,0.03148162364959717,2.6653537438885784,0.013821701501051003,False,BASIC_SURGE,MARKETPLACE_AWARE,secondary
cancellation_rate,24,0.20557053491356211,0.20502782686956875,-0.0005427080439933153,-0.0009424808046300526,-0.26400089109147484,0.26400089109147484,-0.15576327664003775,-0.001853321914789956,0.0008882394589686363,False,112.0,0.28966712951660156,-0.763081096864142,0.45317132544619737,False,BASIC_SURGE,MARKETPLACE_AWARE,secondary
earnings_per_online_hour_mean,24,153.71087078090954,154.37195249981627,0.6610817189067113,0.7637933542054185,0.43008130495141,0.43008130495141,0.4952350050994458,0.10870347725210819,1.1618143486244152,True,68.0,0.017870306968688965,2.4261461305165346,0.02350920011676942,False,BASIC_SURGE,MARKETPLACE_AWARE,guardrail
driver_utilization_mean,24,0.571383454979769,0.5717216967587437,0.00033824177897485985,0.0008121794098279733,0.05919698514666233,0.05919698514666233,0.07187977663460333,-0.0014965954283177397,0.002153848903797708,False,135.0,0.6839864253997803,0.35213755116001366,0.7279412048701974,False,BASIC_SURGE,MARKETPLACE_AWARE,guardrail
platform_revenue,24,91043.27256059698,91498.89546468768,455.62290409070494,482.9872923463263,0.5004465363296882,0.5004465363296882,0.7169760791283238,203.846226870977,695.3447762253844,True,51.0,0.0035042762756347656,3.512451103291459,0.0018704072648923708,False,BASIC_SURGE,MARKETPLACE_AWARE,guardrail
p90_wait_min,24,10.25,10.708333333333334,0.4583333333333333,0.5,4.471544715447155,-4.471544715447155,0.7791737244316423,0.20833333333333334,0.6666666666666666,True,7.0,0.0022819372533154484,3.8171560916829494,0.0008848959120100716,False,BASIC_SURGE,ADVANCED_HEURISTIC,primary
avg_wait_min,24,4.20578764221143,4.370584757726996,0.16479711551556667,0.17887079154411945,3.9183413318727456,-3.9183413318727456,1.2583988929489058,0.11292256774745235,0.21569692001215054,True,12.0,8.344650268554688e-06,6.164870361216103,2.736839708051354e-06,False,BASIC_SURGE,ADVANCED_HEURISTIC,secondary
completion_rate,24,0.5529812377666322,0.524329722336983,-0.02865151542964915,-0.028885155740072943,-5.181281655299233,-5.181281655299233,-4.361500721535932,-0.03115887020028042,-0.02601990311211087,True,0.0,1.1920928955078125e-07,-21.366902561087393,1.1389275358386423e-16,False,BASIC_SURGE,ADVANCED_HEURISTIC,secondary
cancellation_rate,24,0.20557053491356211,0.2201573484235624,0.014586813510000322,0.01411086663559541,7.09577056660078,-7.09577056660078,3.3199600343033118,0.012923540562753414,0.016297186940363504,True,0.0,1.1920928955078125e-07,16.2644161009521,4.1491085188390424e-14,False,BASIC_SURGE,ADVANCED_HEURISTIC,secondary
earnings_per_online_hour_mean,24,153.71087078090954,145.87597862815795,-7.834892152751601,-7.829212369551769,-5.097162037367544,-5.097162037367544,-4.3714036505337495,-8.528696424942563,-7.140311473941879,True,0.0,1.1920928955078125e-07,-21.41541680709472,1.083634821714904e-16,False,BASIC_SURGE,ADVANCED_HEURISTIC,guardrail
driver_utilization_mean,24,0.571383454979769,0.5565713706111796,-0.014812084368589315,-0.015322400644949774,-2.5923194379357324,-2.5923194379357324,-3.6236246843030604,-0.016433616886001364,-0.013202548834946641,True,0.0,1.1920928955078125e-07,-17.752062991792556,6.39317992406281e-15,False,BASIC_SURGE,ADVANCED_HEURISTIC,guardrail
platform_revenue,24,91043.27256059698,86152.35485103006,-4890.917709566907,-4842.925677582512,-5.37208029985037,-5.37208029985037,-5.563391167741125,-5232.30525759317,-4547.209264187615,True,0.0,1.1920928955078125e-07,-27.25493920094483,5.18535826950791e-19,False,BASIC_SURGE,ADVANCED_HEURISTIC,guardrail
p90_wait_min,24,9.4375,8.375,-1.0625,-1.0,-11.258278145695364,11.258278145695364,-2.0536892642044537,-1.25,-0.8541666666666666,True,0.0,1.3586130081060501e-05,-10.060981575065483,6.815264568567796e-10,True,AGGRESSIVE_SURGE,ETA_OPTIMIZED,primary
avg_wait_min,24,3.8277196937624383,3.878742569887557,0.05102287612511911,0.07775079458347656,1.3329836092299232,-1.3329836092299232,0.6767709073168742,0.02051465090429088,0.07925950747282702,True,55.0,0.005330443382263184,3.315486791373497,0.0030156041111872502,False,AGGRESSIVE_SURGE,ETA_OPTIMIZED,secondary
completion_rate,24,0.550978476934556,0.5594428833215258,0.008464406386969754,0.009516229240262686,1.536249915616057,1.536249915616057,1.401479876825568,0.006072341241991192,0.010784639855301452,True,11.0,6.556510925292969e-06,6.8658211660025215,5.318858568512034e-07,False,AGGRESSIVE_SURGE,ETA_OPTIMIZED,secondary
cancellation_rate,24,0.1627443905483945,0.15422658308134396,-0.00851780746705057,-0.009096629296377307,-5.233856256641713,5.233856256641713,-1.8740562197221906,-0.010285446270606038,-0.0066591451469741065,True,2.0,3.5762786865234375e-07,-9.180962975217048,3.737284761106819e-09,True,AGGRESSIVE_SURGE,ETA_OPTIMIZED,secondary
earnings_per_online_hour_mean,24,162.07387989700877,163.95725497921424,1.8833750822054587,2.0508098101473564,1.1620472610406227,1.1620472610406227,0.9481018342964865,1.0711150709879282,2.602329972745017,True,31.0,0.00027811527252197266,4.64473143644632,0.00011283334525274583,False,AGGRESSIVE_SURGE,ETA_OPTIMIZED,guardrail
driver_utilization_mean,24,0.5570797284611155,0.5473006980817688,-0.009779030379346567,-0.009559687912546744,-1.75540948265346,-1.75540948265346,-1.8260934665510293,-0.011907810882402503,-0.0076737650459663635,True,0.0,1.1920928955078125e-07,-8.945994431360244,5.985388312049888e-09,False,AGGRESSIVE_SURGE,ETA_OPTIMIZED,guardrail
platform_revenue,24,96225.25813603943,97698.88907296292,1473.6309369234884,1860.248758845184,1.5314387983663582,1.5314387983663582,1.3395138126723247,1022.4804933021302,1889.9066998179255,True,15.0,1.633167266845703e-05,6.562250688914494,1.0733975638936582e-06,False,AGGRESSIVE_SURGE,ETA_OPTIMIZED,guardrail
