experiment_group,scenario,seed,pricing_policy,dispatch_policy,n_requests,n_completed,n_abandoned,n_cancelled_postmatch,n_rejected_offer,avg_wait_min,median_wait_min,p90_wait_min,cancellation_rate,completion_rate,fulfillment_rate,rider_conversion_rate,avg_price,price_index,avg_pickup_distance_km,gbv,platform_revenue,driver_payout_total,revenue_per_ride,n_online_drivers,total_online_hours,total_active_hours,driver_utilization_mean,earnings_per_online_hour_mean,earnings_per_active_hour,driver_acceptance_rate,north_star_trips_per_online_hour,unmatched_requests
core,NORMAL,1,AGGRESSIVE_SURGE,MARKETPLACE_AWARE,6008,3255,383,647,1697,3.7732718894009216,2.0,9.0,0.1714380825565912,0.5417776298268975,0.5417776298268975,0.5417776298268975,118.31432742566957,1.0642298299731974,1.3091855837866548,385113.1357705545,96278.28394263862,288834.8518279159,29.578581856417394,260,1659.3833333333334,1009.7,0.568204618993111,164.93010284893828,286.060069157092,0.6920500616957518,1.9615720699456625,1030
core,NORMAL,1,AGGRESSIVE_SURGE,ADVANCED_HEURISTIC,6008,3010,392,835,1743,4.313953488372093,2.0,10.0,0.2042276964047936,0.5009986684420772,0.5009986684420772,0.5009986684420772,117.49985764636428,1.0574218737516994,1.5112894578918301,353674.5715155565,88418.64287888912,265255.9286366674,29.37496441159107,260,1660.4666666666667,981.55,0.5544198716655717,151.81045965963773,270.2418915354973,0.6877996803409696,1.8127434054683422,1227
core,NORMAL,1,CAPPED_SMOOTHED_SURGE,NEAREST_DRIVER,6008,3226,558,736,1461,4.265964042157471,2.0,10.0,0.21537949400798934,0.5369507323568575,0.5369507323568575,0.5369507323568575,112.94328030643851,1.0194082334475572,1.4497449963443936,364355.0222685706,91088.75556714265,273266.266701428,28.235820076609627,260,1658.15,1035.05,0.5801099333765019,155.6077600483355,264.0126242224318,0.6875215442950706,1.945541718179899,1294
core,NORMAL,1,CAPPED_SMOOTHED_SURGE,ETA_OPTIMIZED,6008,3306,521,728,1425,4.202964307320024,3.0,9.0,0.20788948069241012,0.550266311584554,0.550266311584554,0.550266311584554,112.66854974042616,1.0156827093019765,1.2715732233777144,372482.22544184886,93120.55636046221,279361.66908138664,28.16713743510654,260,1664.6666666666667,1014.3666666666667,0.5691421415039121,158.37911127870964,275.4050170037659,0.6924650528469144,1.9859831798157788,1249
core,NORMAL,1,CAPPED_SMOOTHED_SURGE,DRIVER_EARNINGS_AWARE,6008,3252,547,750,1435,4.214637146371464,2.0,10.0,0.21587882822902796,0.5412782956058588,0.5412782956058588,0.5412782956058588,112.76705299036814,1.0183921466394819,1.4379695696258497,366718.4563246772,91679.6140811693,275038.8422435079,28.191763247592036,260,1658.9833333333333,1032.0166666666667,0.5855659707843675,158.7893318331385,266.50620200918064,0.69425763062597,1.960236691146184,1297
core,NORMAL,1,CAPPED_SMOOTHED_SURGE,MARKETPLACE_AWARE,6008,3275,542,723,1444,4.244580152671756,2.0,10.0,0.2105525965379494,0.5451065246338216,0.5451065246338216,0.5451065246338216,112.9695497471006,1.017819046032526,1.4395904850457082,369975.27542175446,92493.81885543861,277481.45656631584,28.24238743677515,260,1662.3,1042.2166666666667,0.5806803578683991,156.07414543333732,266.2416227268634,0.6819338422391857,1.9701618239788246,1265
core,NORMAL,1,CAPPED_SMOOTHED_SURGE,ADVANCED_HEURISTIC,6008,3028,516,878,1560,4.538969616908851,2.0,11.0,0.23202396804260986,0.503994673768309,0.503994673768309,0.503994673768309,111.44022325956007,1.0045490604521037,1.5889721545822189,337440.9960299479,84360.24900748697,253080.7470224609,27.860055814890018,260,1660.6666666666667,1003.6666666666666,0.5642131728505682,145.88084278179207,252.1561743830564,0.6892318484742196,1.8233641107988758,1394
core,NORMAL,2,NO_SURGE,NEAREST_DRIVER,5889,3250,585,714,1314,4.153846153846154,2.0,10.0,0.2205807437595517,0.5518763796909493,0.5518763796909493,0.5518763796909493,109.94899810455861,1.0,1.403476806448678,357334.2438398155,89333.56095995387,268000.6828798616,27.487249526139653,260,1691.95,1020.0166666666667,0.5629101766237928,150.38049600243025,262.7414743679302,0.687693898655636,1.9208605455243948,1299
core,NORMAL,2,NO_SURGE,ETA_OPTIMIZED,5889,3357,542,677,1289,4.1456657730116175,3.0,9.0,0.20699609441331296,0.5700458481915436,0.5700458481915436,0.5700458481915436,109.85847640465138,1.0,1.2443324760104413,368794.9052904147,92198.72632260367,276596.17896781105,27.464619101162846,260,1699.0333333333333,1011.0,0.5562298552828892,153.48898684266064,273.58672499288923,0.6882632293080054,1.9758293931843598,1219
core,NORMAL,2,NO_SURGE,DRIVER_EARNINGS_AWARE,5889,3298,584,689,1294,4.106124924196482,2.0,10.0,0.2161657327220241,0.5600271692986925,0.5600271692986925,0.5600271692986925,109.83493399117953,1.0,1.393223529905801,362235.61230291007,90558.90307572752,271676.70922718255,27.45873349779488,260,1689.1,1025.9,0.5787998180205137,155.79857788819047,264.8179249704479,0.6919096084181473,1.9525190930081109,1273
